,Total Number of Features,,,,,,,,,,
Optimization Function,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000
Quing,0.96347329,0.962832314,0.962832314,0.962832314,0.962832314,0.962832314,0.962832314,0.963284174,0.963284174,0.963284174,0.963194587
Sphere,0.936876505,0.93707667,0.937151614,0.937226493,0.937226493,0.937226493,0.937599815,0.937549826,0.937549826,0.937674743,0.937749608
SumSquares,0.936876505,0.937001662,0.93707667,0.937525366,0.937525366,0.937749608,0.937749608,0.937749608,0.937749608,0.937749608,0.937749608
Zakharov,0.911310711,0.911202326,0.911274595,0.911202326,0.911166174,0.911166174,0.911166174,0.911472839,0.911472839,0.911472839,0.911472839
Ackley,0.936020643,0.935970037,0.936020643,0.936172288,0.936298458,0.93689736,0.937199103,0.937249293,0.937249293,0.937249293,0.93747479
Alpine1,0.935350515,0.935633607,0.935700388,0.936046325,0.936415617,0.936492425,0.93662029,0.936773485,0.937053655,0.937180712,0.937459593
BentCigar,0.936876505,0.93707667,0.937151614,0.937226493,0.937226493,0.937226493,0.937599815,0.937549826,0.937549826,0.937674743,0.937749608
ChungReynolds,0.937575079,0.937575079,0.937649594,0.937649594,0.937798433,0.937947017,0.938172629,0.938098127,0.938098127,0.938098127,0.938098127
CosineMixture,0.963464426,0.962832314,0.962832314,0.962832314,0.962832314,0.962832314,0.962832314,0.963298498,0.963298498,0.963298498,0.963194587
Csendes,0.935783384,0.935783384,0.935859023,0.935934596,0.937847033,0.937847033,0.938237704,0.938237704,0.938237704,0.938237704,0.938237704
Discus,0.936316737,0.934472719,0.936362707,0.929933814,0.953160713,0.950219449,0.954845818,0.951656248,0.952249473,0.9528731,0.939316822
DixonPrice,0.937554373,0.937481052,0.937481052,0.937407668,0.937407668,0.937407668,0.937797823,0.937797823,0.937797823,0.937797823,0.937797823
Griewank,0.935859023,0.935859023,0.935859023,0.935859023,0.935783384,0.935783384,0.936172288,0.936172288,0.936172288,0.936172288,0.936172288
HappyCat,0.937715794,0.937640479,0.937715794,0.937715794,0.937640479,0.937640479,0.937640479,0.938039869,0.938039869,0.938039869,0.937964398
HGBat,0.934130679,0.933999921,0.934075784,0.934141131,0.934141131,0.934141131,0.934141131,0.934499696,0.934499696,0.934499696,0.934447339
Infinity,0.935783384,0.935783384,0.935859023,0.935934596,0.937847033,0.937847033,0.938237704,0.938237704,0.938237704,0.938237704,0.938237704
Levy,0.938138242,0.938926196,0.956010194,0.952227552,0.939404989,0.937899144,0.937899144,0.938343357,0.938661597,0.938735183,0.938141356
Powell,0.937301308,0.937226493,0.937301308,0.937301308,0.937226493,0.937599815,0.937599815,0.937599815,0.937599815,0.937599815,0.937599815
