,Total Number of Features,,,,,,,,,,
Optimization Function,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000
Quing,0.8247,0.8211,0.8211,0.8211,0.8211,0.8211,0.8211,0.8219,0.8219,0.8219,0.8214
Sphere,0.696,0.6968,0.6971,0.6974,0.6974,0.6974,0.698,0.6978,0.6978,0.6983,0.6986
SumSquares,0.696,0.6965,0.6968,0.6986,0.6986,0.6986,0.6986,0.6986,0.6986,0.6986,0.6986
Zakharov,0.5989,0.5986,0.5988,0.5986,0.5985,0.5985,0.5985,0.599,0.599,0.599,0.599
Ackley,0.6926,0.6924,0.6926,0.6932,0.6937,0.6952,0.6964,0.6966,0.6966,0.6966,0.6975
Alpine1,0.6883,0.6894,0.68966,0.69101,0.6916,0.6919,0.6924,0.693,0.6941,0.6946,0.6957
BentCigar,0.696,0.6968,0.6971,0.6974,0.6974,0.6974,0.698,0.6978,0.6978,0.6983,0.6986
ChungReynolds,0.6988,0.6988,0.6991,0.6991,0.6997,0.7003,0.7003,0.7,0.7,0.7,0.7
CosineMixture,0.82465,0.8211,0.8211,0.8211,0.8211,0.8211,0.8211,0.82198,0.82198,0.82198,0.8214
Csendes,0.6925,0.6925,0.6928,0.6931,0.7026,0.7026,0.7033,0.7033,0.7033,0.7033,0.7033
Discus,0.7009,0.6825,0.6881,0.6591,0.7801,0.7679,0.7889,0.7643,0.7659,0.7676,0.7031
DixonPrice,0.7014,0.7011,0.7011,0.7008,0.7008,0.7008,0.7015,0.7015,0.7015,0.7015,0.7015
Griewank,0.6928,0.6928,0.6928,0.6928,0.6925,0.6925,0.6932,0.6932,0.6932,0.6932,0.6932
HappyCat,0.6976,0.6973,0.6976,0.6976,0.6973,0.6973,0.6973,0.698,0.698,0.698,0.6977
HGBat,0.6836,0.6831,0.68339,0.68364,0.68364,0.68364,0.68364,0.6842,0.6842,0.6842,0.684
Infinity,0.6925,0.6925,0.6928,0.6931,0.7026,0.7026,0.7033,0.7033,0.7033,0.7033,0.7033
Levy,0.6868,0.6905,0.7818,0.7632,0.7053,0.6992,0.6992,0.7028,0.7032,0.7035,0.6993
Powell,0.6977,0.6974,0.6977,0.6977,0.6974,0.698,0.698,0.698,0.698,0.698,0.698
