,Total Number of Features,,,,,,,,,,
Optimization Function,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000
Quing,0.9171,0.9171,0.9171,0.9171,0.9171,0.9171,0.9171,0.9201,0.9201,0.9201,0.9201
Sphere,0.923,0.923,0.923,0.923,0.923,0.923,0.926,0.926,0.926,0.926,0.926
SumSquares,0.923,0.923,0.923,0.923,0.923,0.926,0.926,0.926,0.926,0.926,0.926
Zakharov,0.9852,0.9852,0.9852,0.9852,0.9852,0.9852,0.9852,0.9881,0.9881,0.9881,0.9881
Ackley,0.923,0.923,0.923,0.923,0.923,0.926,0.926,0.926,0.926,0.926,0.926
Alpine1,0.9289,0.9289,0.9289,0.9289,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319
BentCigar,0.923,0.923,0.923,0.923,0.923,0.923,0.926,0.926,0.926,0.926,0.926
ChungReynolds,0.923,0.923,0.923,0.923,0.923,0.923,0.926,0.926,0.926,0.926,0.926
CosineMixture,0.9171,0.9171,0.9171,0.9171,0.9171,0.9171,0.9171,0.9201,0.9201,0.9201,0.9201
Csendes,0.9201,0.9201,0.9201,0.9201,0.9142,0.9142,0.9171,0.9171,0.9171,0.9171,0.9171
Discus,0.8994,0.93786,0.9437,0.9674,0.8964,0.8905,0.8964,0.9142,0.9171,0.9201,0.93195
DixonPrice,0.9142,0.9142,0.9142,0.9142,0.9142,0.9142,0.9171,0.9171,0.9171,0.9171,0.9171
Griewank,0.9201,0.9201,0.9201,0.9201,0.9201,0.9201,0.923,0.923,0.923,0.923,0.923
HappyCat,0.9289,0.9289,0.9289,0.9289,0.9289,0.9289,0.9289,0.9319,0.9319,0.9319,0.9319
HGBat,0.9289,0.9289,0.9289,0.9289,0.9289,0.9289,0.9289,0.9319,0.9319,0.9319,0.9319
Infinity,0.9201,0.9201,0.9201,0.9201,0.9142,0.9142,0.9171,0.9171,0.9171,0.9171,0.9171
Levy,0.9733,0.9704,0.923,0.923,0.926,0.926,0.926,0.9201,0.923,0.923,0.9289
Powell,0.923,0.923,0.923,0.923,0.923,0.926,0.926,0.926,0.926,0.926,0.926
